daterecorded,maxtempf,mintempf,precipitationinch,watertempf
01-01,43.766666666666666,32.206896551724135,0.40225806451612905,40.89714285714286
01-02,42.903225806451616,33.9375,0.453125,40.93571428571429
01-03,43.40625,34.375,0.398125,40.71714285714285
01-04,42.125,34.064516129032256,0.3515625,40.56285714285714
01-05,42.5,33.45161290322581,0.3934375,40.48571428571428
01-06,42.5625,32.903225806451616,0.328125,40.50153846153846
01-07,42.75,34.3125,0.3875,40.46
01-08,43.5,35.0625,0.3990625,40.33142857142857
01-09,43.90625,34.6875,0.400625,40.20285714285715
01-10,43.8125,34.96875,0.443125,40.151428571428575
01-11,43.65625,34.3125,0.3859375,39.90714285714286
01-12,42.064516129032256,34.46875,0.3946875,39.83
01-13,44.25806451612903,34.903225806451616,0.5364516129032257,39.933846153846154
01-14,44.064516129032256,34.375,0.22064516129032258,39.534285714285716
01-15,44.34375,34.4375,0.383125,39.354285714285716
01-16,42.15625,34.3125,0.495625,39.00714285714286
01-17,42.78125,34.03125,0.33187500000000003,39.05857142857143
01-18,42.96774193548387,34.40625,0.5416129032258065,39.04571428571428
01-19,43.0625,34.96774193548387,0.3464516129032258,39.019999999999996
01-20,43.9375,35.0625,0.380625,39.04571428571428
01-21,43.935483870967744,35.25,0.2980645161290323,38.90428571428571
01-22,44.09375,35.54838709677419,0.21193548387096775,39.29692307692308
01-23,44.65625,35.71875,0.32625,38.76285714285715
01-24,44.875,35.78125,0.2921875,38.544285714285714
01-25,45.90625,35.625,0.34468750000000004,38.69857142857143
01-26,45.25,35.16129032258065,0.39625,38.77571428571429
01-27,44.3125,35.25,0.2309375,38.67285714285714
01-28,45.90625,35.13793103448276,0.335,38.480000000000004
01-29,46.1875,36.78125,0.528125,38.67285714285714
01-30,46.54838709677419,36.03225806451613,0.4535483870967742,38.68769230769231
01-31,46.233333333333334,36.32258064516129,0.3261290322580645,38.955714285714286
02-01,46.1875,36.40625,0.4071875,38.90428571428571
02-02,46.03225806451613,35.516129032258064,0.421875,38.955714285714286
02-03,46.65625,35.25806451612903,0.20625,38.90428571428571
02-04,45.935483870967744,35.62068965517241,0.26875,38.94285714285714
02-05,46.84375,35.6875,0.3396875,38.78857142857142
02-06,46.25806451612903,35.96666666666667,0.3353125,38.78857142857142
02-07,47.4375,36.1875,0.4028125,38.878571428571426
02-08,46.8125,35.32258064516129,0.3409375,38.86571428571428
02-09,46.225806451612904,35.096774193548384,0.404375,39.324615384615385
02-10,47.96774193548387,35.16129032258065,0.1971875,39.255384615384614
02-11,47.3125,35.5625,0.1990625,39.2
02-12,47.53125,36.03125,0.1865625,38.90428571428571
02-13,47.87096774193548,35.25806451612903,0.2990322580645161,39.12285714285714
02-14,47.903225806451616,35.6,0.23193548387096777,39.22571428571428
02-15,48.12903225806452,35.516129032258064,0.2464516129032258,39.23857142857143
02-16,48.5,36.3,0.39838709677419354,39.199999999999996
02-17,48.1,36.41379310344828,0.29125,39.00615384615384
02-18,49.0,35.96774193548387,0.36096774193548387,39.30285714285714
02-19,48.483870967741936,35.61290322580645,0.5077419354838709,39.315714285714286
02-20,48.67741935483871,36.03225806451613,0.30125,39.48285714285714
02-21,48.71875,34.903225806451616,0.373125,39.76769230769231
02-22,49.625,36.53125,0.2440625,39.675714285714285
02-23,49.875,35.875,0.295625,39.76571428571429
02-24,49.625,34.875,0.354375,39.75285714285714
02-25,50.34375,34.61290322580645,0.2378125,39.817142857142855
02-26,48.09375,34.96774193548387,0.2575,39.675714285714285
02-27,47.84375,34.65625,0.2890625,40.98714285714285
02-28,49.645161290322584,35.3125,0.26625,39.791428571428575
02-29,51.25,38.714285714285715,0.2625,40.580000000000005
03-01,50.13333333333333,35.5,0.40419354838709676,40.19
03-02,50.16129032258065,34.96774193548387,0.22129032258064515,40.279999999999994
03-03,50.266666666666666,35.54838709677419,0.3167741935483871,40.34428571428572
03-04,51.25806451612903,36.56666666666667,0.28612903225806446,40.652857142857144
03-05,50.54838709677419,35.903225806451616,0.2529032258064516,40.66571428571429
03-06,51.54838709677419,36.41935483870968,0.28516129032258064,40.79600000000001
03-07,52.483870967741936,36.67741935483871,0.21645161290322582,40.89714285714285
03-08,53.096774193548384,36.903225806451616,0.23548387096774193,41.048
03-09,53.096774193548384,37.3,0.3393548387096774,41.36
03-10,54.064516129032256,37.206896551724135,0.3096774193548387,41.624
03-11,54.774193548387096,38.54838709677419,0.1935483870967742,41.768
03-12,54.96774193548387,37.96666666666667,0.28225806451612906,42.12235294117647
03-13,54.483870967741936,38.32258064516129,0.24290322580645163,42.34470588235294
03-14,55.74193548387097,38.903225806451616,0.31548387096774194,42.40625
03-15,55.12903225806452,38.53333333333333,0.40064516129032257,42.78258064516129
03-16,54.935483870967744,39.44827586206897,0.33999999999999997,43.076
03-17,53.87096774193548,38.86666666666667,0.28935483870967743,43.357419354838704
03-18,53.96774193548387,38.43333333333333,0.22483870967741934,43.47935483870968
03-19,55.193548387096776,38.241379310344826,0.2812903225806452,43.641935483870974
03-20,56.25806451612903,38.67741935483871,0.1896774193548387,43.79290322580645
03-21,57.61290322580645,39.193548387096776,0.2358064516129032,43.94967741935484
03-22,54.29032258064516,39.0,0.3003225806451613,44.21677419354839
03-23,54.354838709677416,38.96666666666667,0.32483870967741935,44.385161290322586
03-24,55.87096774193548,38.758620689655174,0.2167741935483871,44.54774193548387
03-25,56.29032258064516,39.3,0.2703225806451613,44.78
03-26,54.56666666666667,39.193548387096776,0.18258064516129033,44.90193548387097
03-27,55.87096774193548,38.935483870967744,0.3212903225806452,45.081935483870964
03-28,55.38709677419355,39.58064516129032,0.25967741935483873,45.26774193548387
03-29,57.096774193548384,39.63333333333333,0.3596774193548387,45.58709677419355
03-30,58.87096774193548,40.43333333333333,0.30612903225806454,45.76709677419355
03-31,58.83870967741935,40.13333333333333,0.20838709677419354,45.95870967741936
04-01,57.9375,41.25806451612903,0.2453125,46.0516129032258
04-02,58.3125,40.12903225806452,0.155625,46.15032258064517
04-03,57.75,40.483870967741936,0.17500000000000002,46.42322580645161
04-04,57.71875,39.38709677419355,0.1509375,46.649677419354845
04-05,58.15625,40.74193548387097,0.2384375,46.80064516129032
04-06,57.21875,41.46875,0.266875,46.9458064516129
04-07,59.3125,41.74193548387097,0.270625,47.178064516129034
04-08,59.0,41.84375,0.3096875,47.40451612903226
04-09,59.46875,41.6875,0.26,47.68322580645162
04-10,58.9375,42.03125,0.245625,47.8458064516129
04-11,59.09375,42.25,0.2265625,48.06645161290322
04-12,59.53125,41.375,0.15937500000000002,48.339354838709674
04-13,59.1875,42.12903225806452,0.23875,48.5658064516129
04-14,58.0625,41.5625,0.35281250000000003,48.710967741935484
04-15,58.25,41.59375,0.21375,48.902580645161294
04-16,60.5625,42.483870967741936,0.186875,49.12322580645161
04-17,62.09375,43.0,0.170625,49.40193548387097
04-18,61.064516129032256,43.4375,0.1803125,49.674838709677424
04-19,61.71875,42.903225806451616,0.09656250000000001,49.953548387096774
04-20,63.935483870967744,42.58064516129032,0.211875,50.23225806451613
04-21,63.5625,43.354838709677416,0.1253125,50.45290322580645
04-22,61.0,43.15625,0.0990625,50.64451612903226
04-23,62.53125,43.3,0.2346875,50.737419354838714
04-24,62.09375,43.61290322580645,0.30062500000000003,50.92322580645161
04-25,62.09375,43.54838709677419,0.24062499999999998,50.95225806451613
04-26,63.75,43.41935483870968,0.183125,51.23677419354839
04-27,63.40625,43.5625,0.195,51.49225806451613
04-28,62.625,43.84375,0.2128125,51.69548387096774
04-29,62.90625,44.43333333333333,0.19343749999999998,51.99161290322581
04-30,64.21875,44.096774193548384,0.1821875,52.36322580645161
05-01,65.3125,43.666666666666664,0.1546875,52.53741935483871
05-02,66.25,44.46875,0.131875,52.75806451612903
05-03,65.96875,45.125,0.1634375,53.02516129032258
05-04,65.28125,46.03333333333333,0.1415625,53.25741935483871
05-05,66.15625,46.46875,0.2159375,53.48967741935484
05-06,66.0625,46.65625,0.09406250000000001,53.704516129032264
05-07,66.59375,45.4375,0.1359375,53.83806451612903
05-08,65.78125,45.225806451612904,0.155,54.04709677419355
05-09,65.7741935483871,45.225806451612904,0.11483870967741935,54.28516129032258
05-10,65.59375,46.193548387096776,0.1340625,54.407096774193555
05-11,67.46875,46.78125,0.088125,54.70322580645161
05-12,66.125,47.61290322580645,0.12562500000000001,54.935483870967744
05-13,66.4375,46.74193548387097,0.104375,55.115483870967736
05-14,68.8125,46.71875,0.134375,55.388387096774196
05-15,69.96875,48.75,0.1921875,55.556774193548385
05-16,67.6774193548387,49.12903225806452,0.13354838709677422,55.76
05-17,67.9375,49.15625,0.14870967741935484,55.9458064516129
05-18,67.75,49.125,0.1396875,56.13741935483871
05-19,67.8125,49.096774193548384,0.14375,56.32322580645161
05-20,67.0625,48.34375,0.098125,56.541875
05-21,66.375,47.93333333333333,0.12000000000000001,56.643125
05-22,66.5625,47.96666666666667,0.1559375,56.80625
05-23,68.21875,48.74193548387097,0.15125,56.935625
05-24,69.83870967741936,49.55172413793103,0.06967741935483872,57.115625
05-25,70.1875,49.354838709677416,0.08967741935483871,57.385625000000005
05-26,68.16129032258064,49.766666666666666,0.1596875,57.565625
05-27,69.71875,50.84375,0.0765625,57.70625
05-28,69.7741935483871,51.38709677419355,0.15935483870967743,57.666875000000005
05-29,68.09375,50.45161290322581,0.18741935483870967,57.790625
05-30,68.9375,50.0625,0.109375,57.970625
05-31,71.4375,50.03225806451613,0.0715625,58.325
06-01,72.78125,52.0,0.0953125,58.60625
06-02,71.125,52.225806451612904,0.134375,58.53875
06-03,72.03125,51.1875,0.1365625,59.045
06-04,72.90625,51.29032258064516,0.1225,59.292500000000004
06-05,71.6875,51.03125,0.1275,59.41625
06-06,70.5625,50.75,0.17124999999999999,59.556875
06-07,70.90625,51.625,0.18625,59.59625
06-08,69.15625,51.806451612903224,0.121875,59.748125
06-09,70.03125,51.354838709677416,0.121875,59.93375
06-10,69.0625,50.516129032258064,0.21625,60.04625
06-11,68.5,50.903225806451616,0.1390625,60.153125
06-12,70.7,51.0,0.15,60.33875
06-13,71.48387096774194,53.03333333333333,0.1446875,60.4625
06-14,69.3225806451613,52.354838709677416,0.1121875,60.5975
06-15,69.34375,51.483870967741936,0.0775,60.794375
06-16,69.96875,51.6875,0.129375,60.929375
06-17,70.96875,52.225806451612904,0.0975,61.03625
06-18,72.83870967741936,52.41935483870968,0.08750000000000001,61.424375
06-19,71.96666666666667,51.833333333333336,0.0778125,61.683125
06-20,75.35483870967742,52.46666666666667,0.06125,61.941875
06-21,75.4,54.03448275862069,0.042499999999999996,62.13875
06-22,75.09375,54.0625,0.10875,62.414375
06-23,72.71875,54.5,0.0396875,62.6225
06-24,74.46875,54.166666666666664,0.098125,62.915
06-25,75.0625,54.064516129032256,0.0925,63.0275
06-26,77.16129032258064,55.333333333333336,0.065,63.314375
06-27,78.90322580645162,55.61290322580645,0.093125,63.550625
06-28,78.19354838709677,55.48275862068966,0.061875,63.80375
06-29,77.84375,55.774193548387096,0.09874999999999999,64.1075
06-30,77.48387096774194,56.516129032258064,0.015,64.355
07-01,77.6875,56.9,0.0303125,64.540625
07-02,76.28125,55.774193548387096,0.0221875,64.76
07-03,76.9375,55.34375,0.029687500000000002,64.895
07-04,76.90625,55.6875,0.0225,65.148125
07-05,76.75,55.0625,0.0275,65.271875
07-06,76.75,55.354838709677416,0.025312499999999998,65.5925
07-07,77.5625,55.75,0.0084375,65.834375
07-08,77.71875,56.516129032258064,0.02375,66.048125
07-09,80.125,56.333333333333336,0.0703125,66.36875
07-10,79.78125,56.86666666666667,0.031875,66.599375
07-11,79.78125,56.833333333333336,0.008125,66.813125
07-12,80.625,57.6875,0.0015625,67.105625
07-13,81.03125,58.166666666666664,0.021249999999999998,67.415
07-14,79.15625,57.25806451612903,0.004375,67.578125
07-15,80.53125,57.4,0.0003125,67.69625
07-16,81.03125,57.935483870967744,0.01,68.0
07-17,81.03125,58.4375,0.02,68.208125
07-18,79.21875,57.46875,0.031875,68.24187500000001
07-19,80.15625,57.516129032258064,0.0215625,68.37125
07-20,80.40625,57.875,0.023125,68.5625
07-21,80.875,57.625,0.0125,68.736875
07-22,82.71875,58.63333333333333,0.02,68.94500000000001
07-23,81.25,58.483870967741936,0.0209375,69.153125
07-24,81.625,58.689655172413794,0.01625,69.333125
07-25,80.875,57.28125,0.0021875,68.691875
07-26,81.0,58.87096774193548,0.0028125000000000003,69.33875
07-27,83.0,58.67741935483871,0.0021874999999999998,69.64812500000001
07-28,82.96774193548387,58.93333333333333,0.00375,69.974375
07-29,83.70967741935483,58.4,0.0153125,70.064375
07-30,83.875,58.9375,0.039375,70.28375
07-31,82.40625,58.70967741935484,0.00625,70.25
08-01,82.28125,57.89655172413793,0.0025,70.435625
08-02,81.03125,57.666666666666664,0.019375000000000003,70.4075
08-03,80.90625,58.375,0.0046875,70.5875
08-04,82.75,58.333333333333336,0.0003125,70.53125
08-05,84.5,59.354838709677416,0.01125,70.626875
08-06,81.4375,59.3125,0.008125,70.728125
08-07,79.21875,58.6875,0.055,70.8125
08-08,78.71875,58.45161290322581,0.0321875,70.59875
08-09,79.53125,58.827586206896555,0.00125,70.62125
08-10,81.9375,59.0,0.0121875,70.89125
08-11,81.3125,59.03125,0.0146875,70.82375
08-12,82.34375,59.172413793103445,0.030625,71.06
08-13,82.59375,58.74193548387097,0.015625,71.00375
08-14,82.96875,58.15625,0.0075,71.088125
08-15,82.96875,58.8125,0.0084375,71.11625
08-16,82.0625,59.5,0.000625,70.98125
08-17,80.9375,58.6875,0.035937500000000004,70.83500000000001
08-18,80.46875,58.25,0.0196875,70.79
08-19,80.65625,57.84375,0.0184375,70.77875
08-20,81.4375,57.87096774193548,0.03625,70.64375
08-21,79.625,57.5625,0.0515625,70.570625
08-22,77.78125,56.87096774193548,0.094375,70.41875
08-23,78.1875,55.483870967741936,0.0671875,70.3175
08-24,77.75,55.03125,0.0484375,70.16
08-25,79.09375,54.78125,0.06468750000000001,70.075625
08-26,80.0625,55.36666666666667,0.042499999999999996,70.05875
08-27,79.5,56.16129032258065,0.0203125,70.0475
08-28,80.96875,56.15625,0.008125,70.16
08-29,82.03125,57.3,0.035625000000000004,70.0925
08-30,77.71875,56.5625,0.079375,69.99125000000001
08-31,76.9375,55.78125,0.045625,69.85062500000001
09-01,77.03125,55.354838709677416,0.05437500000000001,69.38375
09-02,78.09375,55.225806451612904,0.027187500000000003,69.231875
09-03,79.15625,55.0625,0.07125000000000001,69.18125
09-04,79.03125,55.28125,0.0375,69.1025
09-05,78.8125,54.96875,0.015000000000000001,69.0741935483871
09-06,77.625,55.13333333333333,0.0571875,68.995625
09-07,77.1875,53.90625,0.0828125,68.961875
09-08,78.53125,55.36666666666667,0.0653125,68.68625
09-09,76.9375,54.733333333333334,0.0390625,68.48375
09-10,77.375,54.5625,0.0409375,68.331875
09-11,78.09375,54.15625,0.04875,68.309375
09-12,78.15625,54.354838709677416,0.02875,68.264375
09-13,76.58064516129032,52.96551724137931,0.04125,68.16875
09-14,75.9375,53.12903225806452,0.08125,67.9775
09-15,75.125,53.875,0.08875,68.01161290322581
09-16,72.75,53.774193548387096,0.14500000000000002,67.43677419354839
09-17,72.0625,54.03125,0.15937500000000002,67.208
09-18,71.625,53.375,0.2484375,67.1
09-19,72.03125,52.34375,0.2134375,67.05655172413793
09-20,71.21875,51.6875,0.0921875,66.98206896551724
09-21,72.71875,51.59375,0.03,66.6903448275862
09-22,74.9375,51.645161290322584,0.029687500000000002,66.41857142857143
09-23,74.1875,52.096774193548384,0.0434375,66.25333333333333
09-24,73.875,51.5625,0.12875,66.13333333333334
09-25,73.80645161290323,52.724137931034484,0.0721875,66.03384615384616
09-26,73.09375,52.36666666666667,0.1046875,65.99230769230769
09-27,73.12903225806451,51.354838709677416,0.1053125,65.82615384615384
09-28,74.53125,51.483870967741936,0.189375,66.0488
09-29,74.25,51.21875,0.09593750000000001,65.8616
09-30,70.6875,52.064516129032256,0.1721875,65.66720000000001
10-01,69.625,51.67741935483871,0.3146875,65.68249999999999
10-02,69.28125,49.96875,0.0890625,65.3975
10-03,66.34375,48.61290322580645,0.1403125,65.165
10-04,66.53125,49.0,0.1678125,64.64
10-05,67.0625,48.935483870967744,0.14906250000000001,64.42347826086957
10-06,66.46875,47.93103448275862,0.1696875,63.9125
10-07,67.03125,49.12903225806452,0.125625,63.7925
10-08,65.5625,48.166666666666664,0.1134375,63.7475
10-09,65.15625,48.12903225806452,0.2209375,63.5375
10-10,64.875,48.29032258064516,0.291875,63.095
10-11,63.375,46.774193548387096,0.2790625,62.817499999999995
10-12,63.5,46.125,0.241875,62.4275
10-13,62.15625,46.74193548387097,0.1703125,62.1575
10-14,63.46875,47.096774193548384,0.2996875,61.9895652173913
10-15,64.125,46.096774193548384,0.24125,61.5725
10-16,63.645161290322584,46.90625,0.2184375,61.392500000000005
10-17,63.09375,46.645161290322584,0.1175,61.22
10-18,62.29032258064516,46.645161290322584,0.2696875,61.0625
10-19,62.25806451612903,46.55172413793103,0.2640625,60.665
10-20,63.28125,46.806451612903224,0.171875,60.1325
10-21,62.096774193548384,47.86666666666667,0.2575,59.975
10-22,62.935483870967744,46.83870967741935,0.3775,59.6525
10-23,62.83870967741935,46.56666666666667,0.1775,59.645
10-24,61.09375,45.40625,0.24625,59.23478260869565
10-25,59.96875,44.21875,0.185,59.105
10-26,59.41935483870968,44.193548387096776,0.2509375,58.655
10-27,59.34375,44.65625,0.31875,58.26500000000001
10-28,58.78125,43.935483870967744,0.3825,58.0025
10-29,58.4375,43.61290322580645,0.431875,57.56
10-30,57.09375,43.225806451612904,0.2628125,57.169999999999995
10-31,56.46875,43.0,0.55,56.7875
11-01,55.65625,42.0,0.44218749999999996,56.57750000000001
11-02,54.8125,42.0,0.3596875,56.253043478260864
11-03,55.4375,41.78125,0.300625,55.4675
11-04,55.375,41.21875,0.455625,55.392500000000005
11-05,55.375,43.0625,0.39125,55.1225
11-06,54.0,42.96666666666667,0.5115625,54.57363636363637
11-07,54.375,42.70967741935484,0.4475,54.605
11-08,53.125,41.625,0.304375,54.50782608695653
11-09,53.34375,40.96774193548387,0.2546875,54.16347826086957
11-10,52.34375,42.1,0.239375,53.95217391304348
11-11,53.25,42.28125,0.34468750000000004,53.6
11-12,53.34375,41.32258064516129,0.42093749999999996,53.262499999999996
11-13,53.21875,42.125,0.6315625,52.82749999999999
11-14,52.5625,41.78125,0.37,52.919130434782616
11-15,53.46875,41.34375,0.20625,52.4075
11-16,52.09375,40.875,0.3140625,52.029090909090904
11-17,50.6875,40.645161290322584,0.4790625,51.554545454545455
11-18,51.71875,40.806451612903224,0.4196875,51.341818181818184
11-19,49.34375,39.34375,0.5590625,50.86727272727273
11-20,48.54838709677419,40.0625,0.663125,50.556363636363635
11-21,49.25,38.65625,0.31906249999999997,50.42545454545454
11-22,47.84375,37.75,0.5728125,50.08181818181818
11-23,48.096774193548384,38.5,0.3896875,49.42727272727273
11-24,47.53125,38.53125,0.53625,48.95272727272727
11-25,47.96774193548387,37.78125,0.6846875,48.870909090909095
11-26,47.53125,37.87096774193548,0.368125,48.93636363636363
11-27,45.96774193548387,36.903225806451616,0.3378125,49.42727272727273
11-28,47.58064516129032,37.41935483870968,0.3821875,47.21818181818182
11-29,47.0,37.625,0.400625,47.872727272727275
11-30,46.90625,36.9375,0.3928125,47.52909090909091
12-01,47.15625,37.9,0.5700000000000001,47.31636363636364
12-02,47.375,37.70967741935484,0.5080645161290323,47.16909090909091
12-03,45.21875,36.90625,0.3648387096774194,46.976
12-04,45.0625,35.9375,0.2890322580645161,46.18727272727273
12-05,44.90625,34.875,0.4145161290322581,46.02363636363636
12-06,43.09375,34.75,0.36193548387096774,45.63090909090909
12-07,42.225806451612904,34.333333333333336,0.3319354838709677,45.27090909090909
12-08,42.645161290322584,34.41935483870968,0.4196774193548387,44.96
12-09,43.67741935483871,34.34375,0.43677419354838715,44.6
12-10,43.1875,34.70967741935484,0.4625806451612903,44.45272727272727
12-11,43.46666666666667,35.5,0.4274193548387097,44.17454545454545
12-12,43.9375,35.645161290322584,0.6290322580645161,44.059999999999995
12-13,45.875,35.54838709677419,0.5141935483870967,43.99454545454545
12-14,44.5,35.9375,0.42451612903225805,43.765454545454546
12-15,44.09375,34.5625,0.4174193548387097,43.50363636363637
12-16,42.71875,34.875,0.3487096774193549,43.14363636363636
12-17,43.87096774193548,35.03125,0.40548387096774197,42.947272727272725
12-18,43.40625,34.71875,0.37258064516129036,42.947272727272725
12-19,43.375,34.5,0.3529032258064516,42.652727272727276
12-20,42.58064516129032,34.28125,0.5754838709677419,42.63636363636363
12-21,42.53125,34.1875,0.5225806451612903,42.374545454545455
12-22,42.09375,33.71875,0.3270967741935484,41.88363636363636
12-23,41.9375,33.29032258064516,0.2932258064516129,42.04727272727273
12-24,41.29032258064516,33.516129032258064,0.35612903225806447,42.06363636363636
12-25,41.0,33.666666666666664,0.3613793103448276,41.84
12-26,41.516129032258064,33.12903225806452,0.3762068965517241,41.67090909090909
12-27,41.483870967741936,33.806451612903224,0.45733333333333337,41.441818181818185
12-28,42.875,34.3125,0.557,41.21272727272727
12-29,43.63333333333333,33.774193548387096,0.487741935483871,41.441818181818185
12-30,41.75,32.774193548387096,0.48193548387096774,41.36
12-31,42.1875,32.53125,0.3796774193548387,40.75454545454546
