day,maxtempf,mintempf,precipitationinch,watertempf,cohocount
1,42.5,33.0,0.115,39.47,-1
2,46.0,35.0,0.0,39.92,5
3,46.5,38.0,0.215,39.92,2
4,44.75,32.25,0.42,40.910000000000004,-1
5,41.5,33.0,1.06,40.46,-3
6,42.0,38.0,0.91,39.92,-3
7,41.5,35.0,0.005,39.92,0
8,38.5,34.0,0.35,39.92,0
9,36.0,33.0,0.91,39.92,1
10,41.5,31.0,0.01,39.92,0
11,42.0,32.0,0.11499999999999999,39.92,-2
12,39.0,29.0,0.13,40.46,-1
13,42.0,37.0,0.42,39.92,-1
14,38.0,30.5,0.225,39.47,0
16,44.5,35.5,0.45,40.46,0
17,48.0,42.0,0.56,41.0,1
25,31.0,22.0,0.0,37.04,-1
26,43.0,36.0,0.05,41.0,-1
27,45.0,38.0,0.05,41.0,-1
29,47.0,37.0,0.0,41.0,-1
30,46.0,40.0,0.22,41.0,-1
32,50.0,36.0,0.08,42.08,1
36,47.0,41.0,0.44,42.08,-1
168,70.0,49.0,0.0,61.7,1
179,69.0,56.0,0.87,63.68,1
189,78.0,55.5,0.03,65.57,2
191,68.0,57.0,0.0,65.3,2
192,72.0,57.0,0.0,65.12,1
193,84.0,58.0,0.0,68.36,2
194,92.0,58.0,0.0,66.92,16
195,93.0,58.0,0.0,66.92,4
196,85.33333333333333,59.333333333333336,0.0,67.52,2
197,71.5,57.5,0.095,66.11,4
198,81.5,60.0,0.0,70.43,3
199,82.0,60.25,0.045,69.755,1
200,88.5,60.0,0.0,68.9,2
201,83.0,61.75,0.0925,69.485,2
202,75.25,59.0,0.055,69.485,2
203,80.66666666666667,61.0,0.006666666666666667,68.83999999999999,2
204,84.5,59.75,0.0,67.64,3
205,83.5,63.5,0.0,68.72,3
206,83.4,58.7,0.007000000000000001,69.314,1
207,82.22222222222223,58.888888888888886,0.0022222222222222222,69.33999999999999,2
208,82.5,57.666666666666664,0.01,69.17,3
209,83.33333333333333,59.333333333333336,0.0,69.86,2
210,86.66666666666667,58.166666666666664,0.0,70.82,1
211,77.91666666666667,57.666666666666664,0.0625,69.58999999999999,1
212,85.7,58.1,0.008,71.312,3
213,79.81818181818181,57.63636363636363,0.0,70.22545454545455,2
214,81.75,56.875,0.0,70.7,3
215,81.45454545454545,60.27272727272727,0.014545454545454545,70.52,2
216,81.08333333333333,57.083333333333336,0.0,70.02499999999999,1
217,83.58823529411765,58.588235294117645,0.007058823529411764,70.30823529411765,2
218,82.5,59.916666666666664,0.008333333333333333,70.595,4
219,80.1875,58.3125,0.01625,70.42999999999999,5
220,79.80952380952381,58.95238095238095,0.02619047619047619,70.63142857142857,5
221,78.73913043478261,58.56521739130435,0.0,70.66869565217391,6
222,80.8695652173913,58.65217391304348,0.0017391304347826088,70.53565217391304,9
223,82.04,58.8,0.0016,70.628,12
224,82.53846153846153,59.34615384615385,0.03769230769230769,70.97692307692309,17
225,82.57692307692308,58.46153846153846,0.019230769230769232,70.83153846153846,25
226,84.18518518518519,58.148148148148145,0.0,71.18666666666667,27
227,83.16666666666667,59.166666666666664,0.007083333333333334,70.97,37
228,81.75862068965517,59.172413793103445,0.0006896551724137932,70.88620689655171,40
229,81.48275862068965,58.62068965517241,0.03827586206896552,70.66275862068964,56
230,81.82758620689656,58.3448275862069,0.009655172413793104,70.66275862068964,82
231,82.03333333333333,58.6,0.015000000000000001,70.712,82
232,81.67857142857143,58.107142857142854,0.019285714285714288,70.64857142857143,137
233,79.63333333333334,57.7,0.03766666666666666,70.598,150
234,79.19354838709677,57.29032258064516,0.07806451612903226,70.48516129032258,200
235,77.70967741935483,55.70967741935484,0.0929032258064516,70.3225806451613,217
236,77.03333333333333,55.266666666666666,0.048666666666666664,70.154,348
237,79.15625,54.34375,0.023125,70.1375,547
238,80.06666666666666,55.266666666666666,0.06966666666666667,70.08200000000001,725
239,80.0,55.83870967741935,0.05451612903225806,70.07870967741935,814
240,81.6875,56.9375,0.010625,70.14875,894
241,80.875,56.96875,0.03875,70.1375,884
242,77.5,56.8,0.08466666666666667,70.016,1035
243,78.09375,55.90625,0.045625,69.884375,1317
244,77.70967741935483,55.064516129032256,0.04967741935483871,69.49806451612903,1361
245,77.64516129032258,55.41935483870968,0.017741935483870968,69.31806451612904,1477
246,79.28125,55.375,0.0625,69.2375,1935
247,78.9375,55.03125,0.055625,69.17,2027
248,78.25806451612904,55.096774193548384,0.016451612903225808,69.10903225806452,2324
249,77.53333333333333,55.03333333333333,0.06099999999999999,68.94200000000001,2368
250,76.71875,54.09375,0.08125,68.945,2626
251,76.96774193548387,54.54838709677419,0.04935483870967742,68.85354838709678,2856
252,77.93333333333334,54.766666666666666,0.033,68.624,2626
253,76.93548387096774,55.064516129032256,0.051290322580645156,68.37741935483871,2696
254,77.84375,54.375,0.026875,68.286875,2504
255,78.61290322580645,54.74193548387097,0.05322580645161291,68.30193548387098,2259
256,77.25806451612904,52.903225806451616,0.035806451612903224,68.22064516129032,2142
257,75.72413793103448,53.10344827586207,0.009999999999999998,68.1055172413793,2388
258,74.78125,53.5,0.096875,67.960625,2380
259,73.4,53.6,0.15666666666666668,67.514,2142
260,71.63333333333334,54.6,0.175,67.238,2026
261,72.92857142857143,53.964285714285715,0.17071428571428574,67.05499999999999,1956
262,72.65517241379311,52.44827586206897,0.22413793103448276,67.06896551724138,1691
263,72.13793103448276,51.89655172413793,0.11137931034482759,66.98827586206896,1602
264,73.24137931034483,51.37931034482759,0.04379310344827586,66.75241379310344,1452
265,74.96296296296296,52.074074074074076,0.023333333333333334,66.51333333333334,1322
266,74.23076923076923,52.53846153846154,0.054615384615384614,66.37307692307692,1238
267,75.18518518518519,52.22222222222222,0.04925925925925926,66.24666666666666,1111
268,73.3076923076923,52.73076923076923,0.15615384615384617,66.09615384615384,1029
269,73.47826086956522,52.26086956521739,0.1073913043478261,66.25478260869565,962
270,72.16,51.56,0.1036,65.91199999999999,933
271,74.21739130434783,51.52173913043478,0.21217391304347827,66.2704347826087,852
272,75.52,50.92,0.10280000000000002,65.8904,950
273,72.04166666666667,52.5,0.1791666666666667,65.74249999999999,1065
274,70.4,52.8,0.21600000000000003,65.624,968
275,68.78260869565217,50.95652173913044,0.28608695652173916,65.48782608695652,1048
276,67.47826086956522,49.17391304347826,0.14956521739130435,65.3,1073
277,66.91304347826087,49.47826086956522,0.1891304347826087,64.72869565217391,1048
278,67.26086956521739,49.08695652173913,0.15391304347826087,64.2904347826087,1053
279,67.42857142857143,47.23809523809524,0.07142857142857142,64.13428571428571,1152
280,66.54545454545455,49.59090909090909,0.08,63.91727272727273,1206
281,65.65217391304348,48.78260869565217,0.13999999999999999,63.64086956521739,1152
282,65.45454545454545,48.13636363636363,0.19090909090909092,63.49181818181819,1206
283,64.91304347826087,48.30434782608695,0.29347826086956524,63.22608695652174,1263
284,64.30434782608695,47.82608695652174,0.2917391304347826,62.78782608695653,1314
285,63.416666666666664,47.416666666666664,0.25333333333333335,62.495000000000005,1033
286,63.26086956521739,46.69565217391305,0.05434782608695652,62.18521739130435,1042
287,64.81818181818181,47.59090909090909,0.1509090909090909,62.01090909090909,988
288,64.04166666666667,47.333333333333336,0.18125,61.6175,1006
289,63.68181818181818,46.90909090909091,0.21636363636363634,61.36454545454546,1045
290,63.08695652173913,45.869565217391305,0.07739130434782608,61.27739130434783,973
291,62.333333333333336,46.083333333333336,0.21750000000000003,61.1225,1086
292,64.0952380952381,46.333333333333336,0.2623809523809524,60.8,939
293,63.0,46.86363636363637,0.1659090909090909,60.440000000000005,796
294,63.5,47.416666666666664,0.20041666666666666,59.93,688
295,63.04761904761905,47.04761904761905,0.2219047619047619,59.70285714285714,631
296,63.13636363636363,46.68181818181818,0.2640909090909091,59.57272727272727,569
297,61.45454545454545,46.04545454545455,0.21909090909090911,59.343636363636364,561
298,60.333333333333336,44.5,0.22333333333333336,59.1575,496
299,60.47826086956522,43.608695652173914,0.2882608695652174,58.67913043478261,465
300,59.69565217391305,44.34782608695652,0.33304347826086955,58.436521739130434,472
301,59.04347826086956,43.52173913043478,0.30695652173913046,58.05304347826087,383
302,58.17391304347826,43.21739130434783,0.30391304347826087,57.63826086956522,369
303,57.17391304347826,42.82608695652174,0.35695652173913045,57.199999999999996,323
304,56.291666666666664,42.25,0.5616666666666666,56.824999999999996,346
305,55.416666666666664,41.458333333333336,0.35874999999999996,56.645,293
306,53.608695652173914,40.69565217391305,0.3882608695652174,56.300000000000004,217
307,54.52173913043478,40.869565217391305,0.3521739130434782,55.595652173913045,179
308,55.333333333333336,41.0,0.4558333333333333,55.445,154
309,54.56521739130435,42.47826086956522,0.44782608695652176,55.235652173913046,166
310,54.72727272727273,42.09090909090909,0.5522727272727272,54.63090909090909,126
311,53.95238095238095,42.42857142857143,0.5661904761904761,54.63714285714286,127
312,53.25,41.708333333333336,0.35625,54.48500000000001,101
313,53.54545454545455,41.59090909090909,0.2918181818181818,54.197272727272725,89
314,53.0,42.714285714285715,0.27285714285714285,54.05428571428572,76
315,53.21739130434783,42.26086956521739,0.39652173913043476,53.70173913043479,65
316,53.47826086956522,41.52173913043478,0.2917391304347826,53.3104347826087,58
317,53.78260869565217,41.47826086956522,0.508695652173913,53.03652173913043,41
318,53.25,42.291666666666664,0.46166666666666667,52.865,68
319,53.30434782608695,40.69565217391305,0.09695652173913043,52.512173913043476,54
320,50.785714285714285,39.5,0.27071428571428574,52.05714285714286,55
321,49.1,39.3,0.507,51.638,55
322,51.5,39.0,0.503,51.584,60
323,48.44444444444444,37.77777777777778,0.46444444444444444,50.919999999999995,56
324,47.5,39.4,0.404,50.792,40
325,46.81818181818182,36.81818181818182,0.13,50.458181818181814,21
326,45.81818181818182,35.36363636363637,0.6663636363636364,50.11454545454546,27
327,47.2,36.5,0.529,49.495999999999995,36
328,46.0,36.72727272727273,0.2927272727272727,49.00181818181818,24
329,45.5,34.25,0.3825,48.785000000000004,26
330,47.111111111111114,36.111111111111114,0.14888888888888888,48.760000000000005,36
331,44.285714285714285,35.42857142857143,0.42,50.128571428571426,24
332,47.142857142857146,38.57142857142857,0.43571428571428567,47.145714285714284,16
333,45.333333333333336,34.77777777777778,0.2744444444444445,48.14,10
334,44.57142857142857,31.714285714285715,0.2342857142857143,47.325714285714284,9
335,45.0,36.875,0.455,47.1875,5
336,44.166666666666664,34.0,0.94,46.63999999999999,17
337,43.5,35.0,0.8016666666666666,47.0,11
338,43.5,33.625,0.20875,46.13,5
339,42.142857142857146,32.42857142857143,0.3185714285714286,45.705714285714286,2
340,42.2,33.5,0.24699999999999997,45.769999999999996,3
341,40.4,31.8,0.022,45.428000000000004,3
342,41.57142857142857,33.42857142857143,0.13428571428571429,45.16571428571429,4
343,39.0,29.428571428571427,0.36714285714285716,44.42,3
344,40.5,30.75,0.505,43.97,10
345,41.375,32.0,0.1625,44.015,6
346,44.75,35.75,1.3450000000000002,43.519999999999996,4
347,45.0,34.0,0.5775,43.79,10
348,44.2,33.8,0.47000000000000003,43.016,4
349,46.333333333333336,37.666666666666664,0.22666666666666668,42.98,1
350,40.25,34.5,0.41500000000000004,43.25,3
351,39.25,33.0,0.16499999999999998,42.8,2
352,40.75,33.5,0.065,42.305,0
353,43.5,33.666666666666664,0.235,42.53,2
354,41.25,37.25,0.48000000000000004,43.43,3
355,44.75,35.25,1.4575,43.745,2
356,46.4,38.8,0.33999999999999997,41.792,3
357,47.75,39.0,0.2475,42.575,3
358,46.5,36.0,0.2725,41.99,1
359,37.5,34.0,0.125,41.54,0
360,42.0,31.0,0.01,41.0,-2
361,41.75,34.0,0.1,40.955,0
362,46.666666666666664,37.666666666666664,1.06,41.66,0
363,41.666666666666664,32.666666666666664,0.20666666666666667,41.300000000000004,0
364,44.5,36.0,1.41,40.55,0
365,37.0,33.5,0.01,39.47,-3
